book_id_csv,book_id
0,000647022X
1,000649045X
2,000649689X
3,000649692X
4,000664600X
5,000711933X
6,000715805X
7,006000942X
8,006001234X
9,006052510X
10,006054094X
11,006056668X
12,006057058X
13,006057786X
14,006058033X
15,006062213X
16,006064589X
17,006074748X
18,006085409X
19,006091307X
20,006091646X
21,006092960X
22,006093266X
23,006097611X
24,006105366X
25,006109398X
26,006113127X
27,006251279X
28,006251637X
29,006440336X
30,006440630X
31,006440692X
32,006441034X
33,006443494X
34,006446234X
35,006757520X
36,007141858X
37,007222696X
38,009917331X
39,009928264X
40,009928555X
41,009930791X
42,009943752X
43,009947137X
44,009992840X
45,013187165X
46,013237045X
47,014017897X
48,014018533X
49,014018922X
50,014019553X
51,014023828X
52,014025157X
53,014027782X
54,014044257X
55,014044307X
56,014044789X
57,014062063X
58,014100018X
59,014101508X
60,014118258X
61,014118549X
62,014118616X
63,014144116X
64,014243776X
65,014303460X
66,014303748X
67,014310490X
68,015602778X
69,015603297X
70,015670160X
71,019280197X
72,019280264X
73,019280409X
74,019283360X
75,019283780X
76,019513592X
77,019514581X
78,019516895X
79,019517447X
80,019875275X
81,019929609X
82,022407265X
83,023112189X
84,025320318X
85,026257103X
86,026261135X
87,028564811X
88,030680882X
89,030680932X
90,030723827X
91,031024756X
92,031026345X
93,031213214X
94,031215125X
95,031227999X
96,031228621X
97,031229543X
98,031232118X
99,031233379X
100,031235326X
101,031235407X
102,031235777X
103,031236086X
104,031236296X
105,031242468X
106,031287751X
107,031294098X
108,031298166X
109,032127623X
110,033036734X
111,033037124X
112,033041173X
113,033043313X
114,033048477X
115,034069291X
116,034082977X
117,034542204X
118,034542462X
119,034543191X
120,034543577X
121,034543708X
122,034543871X
123,034543949X
124,034545894X
125,034546401X
126,034547760X
127,034547824X
128,034548133X
129,034548410X
130,034911188X
131,034911630X
132,037312600X
133,037328523X
134,037376779X
135,037377172X
136,037380248X
137,037570180X
138,037570387X
139,037570633X
140,037571393X
141,037572463X
142,037572530X
143,037572706X
144,037575931X
145,037576013X
146,037581468X
147,037582748X
148,038071082X
149,038073186X
150,038077108X
151,038079487X
152,038548951X
153,038549081X
154,038549517X
155,038560310X
156,038572179X
157,039330700X
158,039332107X
159,039332446X
160,039332706X
161,039457107X
162,039574010X
163,039915373X
164,041377242X
165,042518160X
166,042518238X
167,042518448X
168,042519499X
169,042519745X
170,042520961X
171,043932162X
172,043962939X
173,043965548X
174,043974685X
175,043981071X
176,043984777X
177,043999926X
178,044021680X
179,044022912X
180,044101237X
181,044173118X
182,044651862X
183,044653109X
184,044669567X
185,044669651X
186,044900113X
187,045052468X
188,045121157X
189,045121577X
190,047004604X
191,048641423X
192,048642992X
193,051509465X
194,052138673X
195,055215315X
196,055299801X
197,055299877X
198,055327578X
199,055329783X
200,055337933X
201,055338368X
202,055356997X
203,055357812X
204,055358135X
205,055358202X
206,055358295X
207,055380202X
208,055381706X
209,056348649X
210,057120175X
211,057120211X
212,057120905X
213,057506689X
214,057506885X
215,057507681X
216,061808357X
217,061812733X
218,061839110X
219,061847790X
220,061861169X
221,061861916X
222,061870986X
223,061871166X
224,061877355X
225,067003777X
226,067100347X
227,067102082X
228,067102423X
229,067104155X
230,067155302X
231,067173248X
232,067176991X
233,067179566X
234,067187778X
235,067401829X
236,067426858X
237,067429503X
238,067942895X
239,067972477X
240,067973449X
241,067973547X
242,067975377X
243,067978117X
244,067978148X
245,067989070X
246,068483183X
247,068809368X
248,068814392X
249,068980217X
250,068984882X
251,068986311X
252,068987040X
253,068987409X
254,068987670X
255,069102068X
256,072254040X
257,072324779X
258,073854678X
259,074324382X
260,074324592X
261,074324754X
262,074325578X
263,074325807X
264,074329730X
265,074346754X
266,074347788X
267,074348844X
268,074531788X
269,074563379X
270,074595054X
271,074726743X
272,074754624X
273,074757362X
274,075150503X
275,075640181X
276,075660592X
277,075821037X
278,075821409X
279,076032963X
280,076155548X
281,076241393X
282,076362800X
283,076362828X
284,076455302X
285,076530953X
286,076530998X
287,076531293X
288,076534551X
289,076535098X
290,076790382X
291,076790818X
292,077832284X
293,078601606X
294,078671767X
295,078680839X
296,078685538X
297,078693137X
298,078693770X
299,078798129X
300,079227363X
301,080215154X
302,080282966X
303,080283972X
304,080508052X
305,081095480X
306,081120135X
307,081121365X
308,081221627X
309,081257558X
310,081292763X
311,081296618X
312,081297106X
313,081297655X
314,081673691X
315,082176053X
316,082221718X
317,082221900X
318,082542982X
319,082632357X
320,082641477X
321,082641897X
322,082942122X
323,083082605X
324,083082619X
325,084394580X
326,084395177X
327,087113960X
328,087893720X
329,088001508X
330,089281800X
331,089658321X
332,089689293X
333,091827382X
334,092291561X
335,094180755X
336,097212179X
337,097216748X
338,097669400X
339,130887013
340,131492020
341,131494848
342,131730363
343,131922165
344,131935070
345,132197383
346,1400016088
347,1400030064
348,1400030080
349,1400030129
350,140003065X
351,1400031362
352,1400031656
353,140003177X
354,1400032059
355,1400032385
356,1400032466
357,1400032539
358,1400032806
359,1400032814
360,1400032822
361,140003292X
362,1400032954
363,1400033179
364,1400033411
365,140003342X
366,1400033543
367,1400033721
368,1400033829
369,1400033837
370,1400033853
371,1400033888
372,1400034205
373,1400034299
374,140003471X
375,1400034779
376,1400040302
377,1400040353
378,1400040361
379,1400040612
380,1400041279
381,1400041988
382,1400042550
383,1400043468
384,1400044162
385,1400044731
386,140004474X
387,1400044871
388,1400047331
389,1400047838
390,1400047862
391,1400049474
392,1400051533
393,1400051576
